 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
2015M09,69.93,69.91,87.68,68.37,77.76,56.23,92.11,83.24,92.71,97.63
2015M10,71.02,70.98,101.68,69.52,79.77,56.25,94.54,87.41,92.09,101.07
2015M11,67.87,67.82,102.91,66.67,76.64,53.78,90.05,85.68,83.6,97.41
2015M12,70.9,70.83,112.96,69.99,81.23,55.28,96.7,91.65,81.01,104.11
2016M01,68.6,68.56,97.74,67.45,80.48,53.02,93.61,86.11,83.76,100.07
2016M02,58.05,58.04,74.32,56.78,63.65,45.99,83.18,65.12,75.47,93.2
2016M03,73.57,73.55,94.79,72.55,88.24,57.67,98.62,88.26,87.53,98.21
2016M04,68.85,68.81,94.67,67.51,80.55,54.12,91.73,82.33,87.5,96.25
2016M05,73.5,73.46,98.14,72,86.58,57.46,97.47,88.77,95,99.26
2016M06,74.44,74.42,90.82,72.83,85.11,60.14,95.16,87.02,98.12,96.85
2016M07,74.49,74.47,90.56,72.55,82.83,59.85,97.13,87.34,103.47,100.45
2016M08,77.01,77,91.72,75.35,84.06,62.96,96.72,96.02,101.44,102.97
2016M09,75.99,76,77.54,74.89,75.13,68.64,88.49,84.66,92.06,99.12
2016M10,76.36,76.36,87,74.96,81.59,64.93,92.74,90.03,96.87,102.71
2016M11,78.43,78.42,92.9,77.92,85.62,67.45,94.73,94.85,84.55,98.16
2016M12,78.38,78.34,102.72,77.82,88.52,65.09,97.7,98.63,84.57,102.43
2017M01,72.47,72.43,93.85,71.69,78.24,60.77,92.8,87.96,82.06,101.03
2017M02,67.43,67.42,75.72,66.79,73.17,57.27,84.62,79.82,75.86,90.09
2017M03,79.7,79.68,95.67,79.15,92.49,65.44,98.61,101.53,86.37,100.39
2017M04,69.67,69.65,85.03,68.55,82.47,54.98,88.12,89.95,85.2,96.84
2017M05,75.9,75.86,101.42,74.5,86.48,60.46,96.22,98.84,95.48,104.05
2017M06,78.71,78.71,84.29,77.18,89.62,64.68,98.92,90.12,101.64,99.53
2017M07,76.39,76.38,89.44,74.39,86.58,62.01,98.54,83.57,106.32,103.7
2017M08,81.46,81.46,90.91,79.68,90.32,67.23,101.82,94.92,108.43,104.21
2017M09,80.04,80.02,91.33,78.62,87.17,68.68,94.06,92.27,101.06,99.95
2017M10,78.36,78.36,81.66,77.12,83.64,68.73,92.61,84.8,96.62,102.83
2017M11,79.89,79.88,87.01,79.3,90.86,68.98,93.97,90.44,87.79,98.07
2017M12,81.46,81.44,92.49,81.02,91.18,71.07,96.71,90.71,86.5,104.41
2018M01,79.31,79.3,87.95,78.57,93.06,64.31,102.52,93.78,88.86,103.01
2018M02,63.76,63.76,62.76,62.78,67.49,54.23,83.58,69.12,77.56,91.93
2018M03,83.86,83.86,84.02,83.41,96.91,71.43,101.04,96.43,89.13,102.79
2018M04,75.35,75.34,80.91,74.44,85.69,63.68,92.14,84.98,87.89,99.6
2018M05,81.98,81.96,96.48,80.62,96.28,66.88,100.05,97.37,101.88,105.17
2018M06,78.81,78.8,84.75,77.42,91.5,64.91,95.37,92.42,99.65,101.01
2018M07,80.02,80.01,86.7,78.56,92.47,65.28,99.6,93.68,101.8,103.07
2018M08,82.51,82.51,82.32,81.01,91.61,68.71,101.28,98.25,105.56,103.57
2018M09,81.11,81.1,86.71,79.84,84.88,72.4,93.8,88.82,99.99,99.94
2018M10,84.6,84.59,92.8,83.88,91.3,74.86,98.75,95.99,94.4,99.24
2018M11,81.4,81.38,88.28,80.55,89.84,69.68,98.31,95.67,93.66,95.12
2018M12,79.85,79.83,95.17,79.15,88.83,68.43,95.1,95.52,88.57,102.75
2019M01,79.78,79.77,90.55,79.1,92.05,64.42,101.28,102.72,88.15,101.43
2019M02,62.7,62.7,65.48,61.76,67.38,52.45,83.08,70.05,75.81,90.96
2019M03,77.52,77.51,84.04,76.68,88.43,64.66,95.57,91.83,88.92,100.32
2019M04,77.05,77.05,81.67,76.13,87.36,64.34,94.91,91.34,89.89,99.65
2019M05,80.43,80.42,88.16,79.2,89.91,66.34,102.34,94.8,98.47,102.97
2019M06,78.63,78.65,79.01,77.16,84.12,67.83,95.1,88.05,101.34,101.45
2019M07,83.92,83.93,84.16,82.35,89.5,71.88,101.58,97.69,108.44,103.52
2019M08,85.07,85.09,76.93,83.55,84.05,77.33,98.09,95.51,109.13,102.76
2019M09,81.72,81.74,78.62,80.69,80.63,77.07,89.17,87.87,97.09,100.5
2019M10,84.28,84.27,89.21,83.42,85.82,77.08,94.8,97.09,96.2,103.35
2019M11,83.75,83.74,89.93,83.33,83.97,78.06,93.69,96,88.14,100.91
2019M12,86.85,86.83,98.21,86.57,90.51,79.18,98.11,102.97,88.31,105.52
