 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1998M09,34.41,34.28,194.2,32.43,55.09,11.9,57.26,104.22,66.59,87.45
1998M10,35.01,34.87,188.68,33.16,56.27,12.47,58.27,102.68,63.68,90.38
1998M11,34.63,34.5,197.04,32.98,55.7,12.58,57.14,101.82,58.86,86.78
1998M12,35.32,35.2,207.7,33.71,59.45,12.23,58.05,108.06,58.23,88.51
1999M01,34.14,34.02,195.47,32.46,56.81,11.34,55.18,110.3,58.4,85.43
1999M02,28.23,28.14,170.6,26.72,44.8,9.7,47.81,86.06,50.33,80.66
1999M03,36.6,36.5,194.99,34.9,60.03,13.11,60.14,108.55,60.71,84.58
1999M04,36.32,36.2,193.2,34.63,59.64,12.43,62.23,108.6,60.43,84.08
1999M05,36.86,36.73,194.03,34.98,59.75,12.7,64.33,105.9,66,86.07
1999M06,36.58,36.45,190.2,34.53,58.28,13.21,59.36,107.38,71.27,86.71
1999M07,36.84,36.72,183.5,34.63,59.43,12.95,60.01,107.83,75.93,89.26
1999M08,36.77,36.64,184.42,34.55,56.18,13.31,60.92,108.24,75.7,91.36
1999M09,34,33.89,166.71,32.1,53.26,12.45,56.08,97.88,65.24,91.17
1999M10,37.8,37.67,166.5,35.96,58.43,14.47,62.57,107.09,65.65,91.46
1999M11,38.14,38.03,180.18,36.42,58.23,15.09,63.47,105.25,62.17,92.94
1999M12,39.02,38.9,186.7,37.32,62.57,15.1,62.62,110.47,61.77,94.7
2000M01,37.57,37.45,187.27,35.8,58.8,14.09,59.76,114.56,62.41,94.77
2000M02,30.92,30.82,153.71,29.29,46.13,11.89,52.89,85.26,55.25,89.36
2000M03,40.19,40.07,184.22,38.47,62.74,15.81,64.86,114.59,63.49,94.33
2000M04,37.71,37.6,173.16,35.98,59.28,14.78,60.6,106.03,62.13,93.99
2000M05,40.02,39.89,153.29,38.06,63.01,15.88,62.85,111.21,70.52,96.32
2000M06,39.88,39.74,165.48,37.72,61.95,16.44,60.96,105.66,76.08,101.53
2000M07,39.32,39.2,146.55,37,59.66,15.88,60.71,107.29,80.4,107.32
2000M08,39.95,39.84,150.57,37.73,59.15,16.32,63.5,108.63,77.85,106.54
2000M09,40.04,39.91,156.29,38.02,59.23,16.98,63.04,106.02,71.78,104.72
2000M10,40.51,40.38,176.67,38.44,58.94,17.44,64.47,104.47,72.71,107.99
2000M11,39.32,39.19,170.75,37.45,57.26,16.63,64.21,103.61,66.12,103.84
2000M12,39.23,39.09,202.16,37.33,59.63,15.45,64.72,108.91,65.63,106.62
2001M01,33.33,33.24,174.73,31.48,46.12,12.76,59.01,95.52,61.25,105.7
2001M02,34.88,34.76,175.65,33.16,50.43,13.79,60.55,95.37,59.39,95.73
2001M03,38.71,38.59,199.04,36.82,56.85,15.16,67.34,105.35,65.79,105.98
2001M04,35.25,35.14,180.75,33.4,52.48,13.06,62.87,97.76,62.75,102.95
2001M05,36.69,36.59,164.56,34.56,53.9,13.41,66.55,100.02,72.65,104.16
2001M06,34.64,34.54,161.04,32.35,49.86,12.57,62.27,95,76.08,102.1
2001M07,34.43,34.33,159.68,32,49.56,12.24,61.37,96.21,80.13,104.31
2001M08,36.52,36.42,158.39,34.02,50.81,13.24,65.75,103.14,83.51,105.49
2001M09,33.58,33.48,139.9,31.52,47.21,12.45,62.27,89.74,69.62,99.59
2001M10,36.96,36.86,159.19,34.94,51.12,14.5,67.34,97.55,70.28,103.25
2001M11,35.74,35.63,168.47,33.85,50.75,14.46,61.81,94.46,64.53,101.23
2001M12,35.34,35.25,193.7,33.42,50.02,13.59,62.62,98.19,64.57,102.95
2002M01,36.49,36.39,205.33,34.54,51.43,14.15,66.42,96.94,66.03,103.2
2002M02,30.04,29.96,147.94,28.33,40.45,12.07,55.37,76.23,57.05,92.35
2002M03,38.92,38.82,184.71,36.97,55.31,15.92,69.97,96.36,68.77,101.12
2002M04,39,38.88,177.44,37.02,54.92,16.07,70.04,96.21,69.75,97.76
2002M05,40.72,40.61,174.59,38.65,59.18,16.77,71.76,98.95,75.14,92.92
