 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1998M04,5.66,5.62,-6.42,5.39,3.87,13.14,1.37,1.78,10.97,3.12
1998M05,1,0.94,-16.64,0.45,-2.4,9.35,-1.89,-4.73,8.55,1.42
1998M06,6.31,6.23,-8.38,5.94,2.17,16.35,2,1.12,12.16,1.4
1998M07,3.22,3.17,-1.98,2.52,1.58,10.73,-3.82,0.22,11.37,3.53
1998M08,3.58,3.5,1.94,2.84,-0.8,11.64,0.22,-1.22,11.44,5.3
1998M09,5.62,5.57,-2.4,5.36,0.38,13.88,5.2,-0.82,9.09,3.79
1998M10,1.1,0.98,-12,0.82,-6.4,9.67,2.81,-5.5,4.29,6.81
1998M11,3.31,3.26,-2.66,3.16,-3.9,12.12,4,-2.49,5.73,5.46
1998M12,-1.37,-1.4,-7.64,-1.61,-5.66,2.77,-1.07,-3.6,2.39,4.08
1999M01,16.28,16.35,-3.29,16.68,15.56,28.14,5.81,12.33,12.52,0.41
1999M02,-6.95,-6.88,-11.73,-7.61,-11.22,-4.06,-7.06,-10.65,0.48,2.3
1999M03,7.05,7.2,-8.41,7.09,3.13,16.12,4.7,0.67,6.47,0.24
1999M04,8.1,8.19,-8.29,8.66,3.36,17.37,9.23,0.08,0.42,3.33
1999M05,10.29,10.37,-3.34,11.19,5.12,20.61,13.74,0.22,0.18,9.49
1999M06,9.06,9.1,-1.97,9.41,3.3,20.53,7.87,2.08,6.45,9.08
1999M07,8.32,8.38,-8.51,9.28,4.15,19.46,9.93,-1.18,1.57,3.59
1999M08,8.69,8.76,-6.43,9.72,2.59,21.77,9.94,0.06,0.92,3.4
1999M09,-1.19,-1.14,-14.16,-1.02,-3.32,4.62,-2.06,-6.08,-2.03,4.25
1999M10,7.97,8.03,-11.76,8.44,3.84,16.04,7.38,4.29,3.09,1.19
1999M11,10.14,10.23,-8.56,10.43,4.54,19.95,11.08,3.37,5.62,7.1
1999M12,10.48,10.51,-10.11,10.71,5.25,23.47,7.87,2.23,6.08,6.99
2000M01,10.05,10.08,-4.2,10.29,3.5,24.25,8.3,3.86,6.87,10.93
2000M02,9.53,9.52,-9.9,9.62,2.97,22.58,10.63,-0.93,9.78,10.79
2000M03,9.81,9.78,-5.52,10.23,4.51,20.59,7.85,5.56,4.58,11.53
2000M04,3.83,3.87,-10.37,3.9,-0.6,18.91,-2.62,-2.37,2.81,11.79
2000M05,8.57,8.6,-21,8.81,5.46,25.04,-2.3,5.01,6.85,11.91
2000M06,9.02,9.03,-13,9.24,6.3,24.45,2.7,-1.6,6.75,17.09
